source_dataset,station_id,latitude,longitude,height,topo_free_disturbance,G_ref
CSIC,FA02,28.28106794,-16.51519414,2223.4224,258.4348342072791,258.8862289688906
CSIC,FA03,28.28112094,-16.51530849,2223.8848,258.4672156665126,258.91861042812405
CSIC,FA04,28.28119048,-16.51546059,2225.1617,258.6539629461546,259.1053577077661
CSIC,FA05,28.28120412,-16.51555056,2225.3112,258.61502490679163,259.0664196684031
CSIC,FA06,28.28124865,-16.51566558,2225.4316,258.6248244890444,259.07621925065587
CSIC,FA07,28.28139301,-16.51597592,2226.5355,258.8175704496463,259.2689652112578
CSIC,FA08,28.28183549,-16.51678611,2234.1424,258.69437766713963,259.1457724287511
CSIC,FA09,28.27277251,-16.51624688,2197.4417,254.6830709369083,255.13446569851976
CSIC,FA10,28.25952427,-16.51998889,2080.8778,252.0186045207024,252.46999928231384
CSIC,FA11,28.27622511,-16.50894146,2146.0544,252.1999256413399,252.6513204029513
CSIC,FA12,28.26863323,-16.49589557,1782.4822,248.4152373043234,248.86663206593485
CSIC,FA13,28.25831285,-16.48456398,1390.7771,242.7939506927252,243.24534545433664
CSIC,FA14,28.26941109,-16.48100402,1433.6225,246.0439380824677,246.49533284407917
CSIC,FA15,28.25244423,-16.45984004,923.4725,233.49095837348503,233.94235313509648
CSIC,GUI00,28.30673864,-16.4364392,689.5296,243.0951689566656,243.546563718277
CSIC,GUI01,28.32058094,-16.43988985,834.8216,244.44759569260447,244.89899045421592
CSIC,GUI02,28.31643457,-16.45811942,1376.7636,249.3570183990936,249.80841316070504
CSIC,GUI03,28.31872341,-16.4477863,1068.7221,246.6485600969179,247.09995485852932
CSIC,GUI04,28.34209186,-16.45900712,1496.8793,253.70193722568823,254.15333198729968
CSIC,GUI05,28.33991031,-16.45188898,1331.5884,250.23540603791287,250.68680079952432
CSIC,GUI06,28.33286698,-16.45398799,1209.9278,251.72230663049828,252.1737013921097
CSIC,GUI07,28.45425389,-16.32689807,625.4108,222.13568389850104,222.5870786601125
CSIC,GUI08,28.43513265,-16.34008908,667.7622,223.63039880970507,224.08179357131647
CSIC,GUI09,28.4112482,-16.34804163,535.9987,219.83254757745303,220.28394233906448
CSIC,GUI10,28.40469649,-16.36276197,525.2677,224.59942857350896,225.0508233351204
CSIC,GUI11,28.39123175,-16.39133992,674.3324,233.4821702696913,233.93356503130275
CSIC,GUI12,28.36295599,-16.39382735,405.1177,229.5962303766056,230.04762513821703
CSIC,GUI13,28.37273784,-16.40756124,761.7352,234.3691431923721,234.82053795398355
CSIC,GUI14,28.34175567,-16.43676986,842.8352,243.9812075226875,244.43260228429892
CSIC,GUI15,28.33499592,-16.4363083,818.9214,243.11531034656767,243.5667051081792
CSIC,GUI17,28.33046276,-16.44813599,1078.7116,248.5344495803131,248.98584434192452
CSIC,GUI18,28.32599541,-16.45814945,1391.9313,251.8167225841368,252.2681173457483
CSIC,GUI19,28.32841012,-16.42687064,599.306,239.23196329360744,239.6833580552189
CSIC,GUI20,28.30476937,-16.50154424,2380.9379,249.7498156596294,250.2012104212409
CSIC,GUI21,28.3026526,-16.49293235,2301.9061,250.1429990380631,250.59439379967452
CSIC,GUI22,28.29914265,-16.48964248,2188.9511,250.4339255119199,250.88532027353136
CSIC,GUI23,28.29901841,-16.47440855,1948.0342,245.88611484452048,246.33750960613196
CSIC,GUI24,28.29692713,-16.46006842,1698.602,241.46443837230487,241.91583313391632
CSIC,GUI25,28.29420659,-16.44759952,1446.5934,236.861204523268,237.3125992848794
CSIC,GUI26,28.29289154,-16.43225012,1119.6539,232.10084459012512,232.55223935173655
CSIC,GUI30,28.31415774,-16.4956996,2228.2115,252.83714159682816,253.2885363584396
CSIC,GUI31,28.31632788,-16.47238923,1719.4983,252.6318147054344,253.08320946704583
CSIC,GUI32,28.31240911,-16.48017681,1837.4177,252.88368629170404,253.3350810533155
