,Unnamed: 0,Station ID,E(m),N(m),longitude,latitude,height_geoid,obsG,BO(mGal),Error(mGal),height_ell,gamma,G_disturbance,terrain_effect,topo_free_disturbance
43,43,TENE044,324979.11,3134070.25,-16.7852,28.3211,1186.7,979170.465,238.59,0.01,1233.619894048523,978815.0422220547,355.4227779452922,101.72715195081504,253.69562599447715
44,44,TENE045,322031.06,3132255.49,-16.815,28.3044,955.4,979227.392,247.587,0.008,1002.1164455871582,978885.2060216225,342.18597837747075,80.15180580601198,262.0341725714588
45,45,TENE046,323397.24,3132631.83,-16.8011,28.3079,1027.4,979212.91,247.032,0.009,1074.2601974131012,978863.2113812295,349.698618770577,87.85363714310483,261.8449816274722
46,46,TENE047,322552.59,3133019.08,-16.8098,28.3113,1140.0,979186.725,247.503,0.008,1186.7371176924134,978828.7667298864,357.95827011356596,95.46603242068728,262.4922376928787
47,47,TENE048,322951.79,3132033.32,-16.8056,28.3025,987.9,979220.364,246.268,0.008,1034.7429510498048,978874.9964181376,345.3675818623742,84.60071274916591,260.7668691132083
48,48,TENE049,321922.8,3130991.37,-16.8159,28.2929,916.3,979231.075,243.422,0.008,963.0470897836,978896.393505087,334.6814949129475,77.14760794894329,257.53388696400424
49,49,TENE050,321927.75,3129949.44,-16.8157,28.2835,808.4,979250.427,241.344,0.006,855.1729266877746,978928.9695508685,321.45744913152885,66.5120002641564,254.94544886737245
50,50,TENE051,321786.6,3129501.57,-16.8171,28.2795,734.2,979264.804,240.376,0.006,780.9518590731049,978951.5699679939,313.2340320061194,59.50171479329708,253.7323172128223
51,51,TENE052,322661.76,3130810.71,-16.8084,28.2914,928.6,979229.984,244.374,0.007,975.449917177246,978892.4536740304,337.53032596968114,78.82098775196863,258.7093382177125
52,52,TENE053,323179.67,3130146.83,-16.803,28.2855,971.3,979217.967,242.331,0.003,1018.2412661849976,978878.8063274819,339.16067251807544,82.37158758014769,256.7890849379278
53,53,TENE054,323719.57,3129770.82,-16.7974,28.2822,1044.9,979202.33,242.638,0.006,1091.9229704404297,978855.8247801377,346.5052198622143,89.00392647387238,257.5012933883419
54,54,TENE055,322955.8,3128886.66,-16.8051,28.2741,983.2,979207.42,236.847,0.005,1030.1179230483856,978874.2829917851,333.1370082149515,81.74827515306393,251.38873306188756
55,55,TENE056,323396.76,3129242.51,-16.8006,28.2774,1065.7,979194.118,239.917,0.006,1112.6815897417605,978849.0586203588,345.0593796411995,90.14881749912388,254.9105621420756
56,56,TENE057,330621.0,3127591.04,-16.7268,28.2634,1847.9,979030.754,244.527,0.006,1895.7564156729736,978606.454384934,424.29961506591644,160.99569411709385,263.30392094882257
57,57,TENE058,329229.38,3130849.47,-16.7414,28.2926,1603.2,979078.721,237.007,0.027,1650.785661225403,978684.2094913089,394.5115086911246,139.77014135103164,254.74136734009298
58,58,TENE059,330202.04,3131088.19,-16.7315,28.2949,1676.6,979061.049,235.277,0.027,1724.25365189888,978661.7226818722,399.32631812780164,146.07484100656993,253.25147712123172
59,59,TENE060,331072.78,3131199.87,-16.7227,28.296,1700.4,979057.297,236.612,0.027,1748.1108205191042,978654.4473589844,402.84964101563673,148.0948070568853,254.75483395875145
60,60,TENE061,330172.95,3130290.63,-16.7317,28.2877,1737.4,979050.253,237.737,0.027,1785.1091456708225,978642.4105353415,407.8424646585481,151.86962526678718,255.97283939176094
61,61,TENE062,330922.8,3130038.3,-16.724,28.2855,1805.1,979036.619,239.089,0.027,1852.8900430282592,978621.339937797,415.2790622028988,157.46265806852827,257.8164041343705
62,62,TENE063,328616.88,3130146.78,-16.7476,28.2862,1638.5,979071.231,238.01,0.028,1686.0736241965333,978672.8429297783,398.3880702217575,142.6062656609499,255.78180456080761
63,63,TENE064,327658.64,3135499.8,-16.7581,28.3344,1010.0,979203.604,233.709,0.006,1056.9901612406618,978870.5383602753,333.06563972472213,84.20026164701785,248.8653780777043
64,64,TENE065,329035.63,3135487.02,-16.7441,28.3344,1087.0,979184.896,231.647,0.009,1134.0914332731934,978846.7509406626,338.1450593373738,91.15628805800594,246.98877127936788
65,65,TENE066,329424.1,3135239.35,-16.7401,28.3323,1101.0,979182.867,232.722,0.006,1148.149716473404,978842.2553125328,340.6116874672007,92.61423353462708,247.9974539325736
66,66,TENE067,329804.79,3135711.84,-16.7363,28.3366,1037.0,979194.652,231.036,0.01,1084.1058886426392,978862.3384570039,332.31354299606755,86.04272066077642,246.27082233529114
67,67,TENE068,335412.4,3132743.59,-16.6787,28.3105,1551.6,979086.157,235.584,0.019,1599.402610824356,978701.4078748036,384.74912519636564,131.41430670926349,253.33481848710215
68,68,TENE069,333456.04,3124805.7,-16.6975,28.2386,2092.7,978990.567,258.68,0.008,2140.777639297485,978529.0250602171,461.54193978291005,182.9546996212608,278.5872401616492
69,69,TENE070,326224.24,3135041.65,-16.7727,28.3301,1081.7,979188.077,233.305,0.002,1128.6274165656434,978848.112274652,339.9647253480507,91.43109115501058,248.53363419304014
70,70,TENE071,327849.49,3137485.03,-16.7565,28.3523,720.2,979260.147,229.479,0.007,766.9176171876527,978961.3905154276,298.7564845724264,55.54437054413998,243.21211402828644
71,71,TENE072,334784.78,3121119.89,-16.6834,28.2056,2106.2,978983.007,261.634,0.015,2154.1499716643066,978522.4179463919,460.58905360812787,177.97140712478603,282.61764648334184
72,72,TENE073,328396.03,3128241.45,-16.7495,28.269,1591.0,979083.367,240.988,0.008,1638.618315045929,978686.1839981956,397.1830018043984,138.60761960974762,258.57538219465073
73,73,TENE074,322722.15,3132485.64,-16.808,28.3065,977.5,979224.283,247.834,0.011,1024.2880143280029,978878.5236723671,345.75932763295714,83.5049458687647,262.25438176419243
