,Unnamed: 0,Island,Station ID,latitude,longitude,height_geoid,height_ell,Precision,obsG,gamma,G_disturbance,terrain_effect,topo_free_disturbance
130,138,Tenerife,945007,28.38305555555556,-16.602777777777778,521.0719,567.8773,0.05,979290.18,979025.1332098779,265.04679012217093,28.88709888102652,236.1596912411444
131,139,Tenerife,945008,28.384444444444444,-16.604166666666668,572.9144,619.6874,0.05,979277.07,979009.2498123924,267.82018760754727,33.21623711422005,234.6039504933272
132,140,Tenerife,945009,28.38,-16.604166666666668,673.6211,720.4806,0.05,979258.95,978977.8110487215,281.13895127840806,45.11098184336594,236.0279694350421
133,141,Tenerife,945010,28.37638888888889,-16.604444444444447,756.9365,803.8649,0.05,979242.59,978951.8084537719,290.7815462280996,53.92965624117005,236.85188998692956
134,142,Tenerife,945011,28.378888888888888,-16.609444444444446,704.0221,750.8849,0.05,979253.96,978968.3451675504,285.614832449588,50.22024865273565,235.39458379685234
135,143,Tenerife,945012,28.37611111111111,-16.610555555555557,757.394,804.3074,0.05,979243.2,978951.6509371854,291.5490628145635,55.70605371733998,235.84300909722353
136,144,Tenerife,945014,28.37027777777778,-16.6125,849.8487,896.8702,0.05,979224.75,978922.6495421383,302.1004578616703,65.29932724355587,236.80113061811443
137,145,Tenerife,945015,28.364722222222223,-16.61777777777778,893.7957,940.9079,0.05,979216.09,978908.6423721116,307.44762788841035,69.88203651440138,237.565591374009
138,146,Tenerife,945016,28.361944444444447,-16.62361111111111,887.5839,934.7279,0.05,979219.16,978910.3394656042,308.8205343958689,69.18301040043755,239.63752399543134
139,147,Tenerife,945017,28.361666666666668,-16.630277777777778,889.375,936.5015,0.05,979219.87,978909.7712601718,310.0987398282159,69.54641828731663,240.5523215408993
140,148,Tenerife,945019,28.36388888888889,-16.638333333333332,831.3365,878.3918,,979230.03,978927.8687086806,302.16129131941125,63.62084723480142,238.54044408460982
141,149,Tenerife,945020,28.372222222222224,-16.653888888888886,786.4472,833.2832,,979242.81,978942.4164502328,300.3935497672064,35.49121080693037,264.90233896027604
142,150,Tenerife,945021,28.363611111111112,-16.6525,742.3142,789.3239,0.05,979251.19,978955.3304878344,295.85951216553804,55.46273749085153,240.3967746746865
143,151,Tenerife,945022,28.360833333333336,-16.65861111111111,713.67,760.711,0.05,979258.6,978963.9498127647,294.6501872353256,54.00226121167747,240.6479260236481
144,152,Tenerife,945023,28.364444444444445,-16.66111111111111,644.3351,691.2978,,979272.08,978985.6416202527,286.438379747211,47.36358164786986,239.07479809934114
145,153,Tenerife,945024,28.36916666666667,-16.65833333333333,579.2254,626.1059,0.05,979283.94,979006.1153881734,277.824611826567,41.10727482571703,236.71733700084997
146,154,Tenerife,945026,28.372222222222224,-16.653888888888886,514.5657,561.4017,,979298.38,979026.313453155,272.066546845017,35.205266496356764,236.86128034866024
147,155,Tenerife,945027,28.375,-16.6575,462.2838,509.0518,0.05,979307.8,979042.678533755,265.1214662450366,30.316275337044186,234.8051909079924
148,156,Tenerife,945028,28.37555555555556,-16.66333333333333,422.0304,468.7664,0.05,979316.59,979055.1529445036,261.4370554963825,26.58611238371501,234.85094311266752
149,157,Tenerife,945029,28.375,-16.66861111111111,394.4551,441.1825,0.05,979323.25,979063.6237828654,259.62621713464614,22.956913521572787,236.66930361307334
150,158,Tenerife,945031,28.37555555555556,-16.672222222222224,353.2834,399.9858,0.05,979332.12,979076.3798378616,255.74016213836148,19.991346000233325,235.74881613812815
151,159,Tenerife,945032,28.37444444444445,-16.678611111111113,331.0587,377.7579,0.05,979336.87,979083.1559994546,253.7140005454421,18.026178636992142,235.68782190844996
152,160,Tenerife,945033,28.377222222222223,-16.684444444444445,277.7031,324.3258,0.05,979348.22,979099.8564853538,248.3635146461893,12.89078267944509,235.4727319667442
153,161,Tenerife,946001,28.380277777777778,-16.584166666666665,341.1426,388.057,,979338.54,979080.4179557539,258.1220442461781,17.832148112410398,240.2898961337677
154,162,Tenerife,946002,28.385,-16.584166666666665,279.3562,326.1807,0.05,979351.3,979099.8714028047,251.4285971953068,12.636093910088858,238.79250328521795
155,163,Tenerife,946003,28.38833333333333,-16.584166666666665,234.408,281.1665,0.05,979360.75,979114.0161964234,246.73380357655697,8.781977122485953,237.951826454071
156,164,Tenerife,946004,28.391111111111112,-16.578611111111112,219.562,266.2791,0.05,979364.47,979118.8208804963,245.64911950367969,8.162488360709627,237.48663114297005
157,165,Tenerife,947001,28.31055555555556,-16.57,1992.3013,2040.2881,0.05,978993.91,978565.4355602835,428.47443971654866,173.02856408029447,255.4458756362542
158,166,Tenerife,947002,28.31222222222222,-16.56888888888889,1948.6405,1996.6112,0.05,979003.62,978579.0306804001,424.5893195999088,168.8687940894418,255.72052551046698
159,167,Tenerife,947003,28.314444444444444,-16.575277777777778,1903.9744,1951.9348,0.05,979013.26,978592.9762227382,420.28377726185136,164.8560415654971,255.42773569635426
160,168,Tenerife,947004,28.316666666666663,-16.57,1854.1841,1902.1181,0.05,979023.73,978608.5073534707,415.2226465293206,159.4640049351512,255.75864159416943
161,169,Tenerife,947006,28.316944444444445,-16.561944444444446,1804.0236,1851.9362,0.05,979035.47,978624.0048279369,411.46517206309363,154.8146357092702,256.65053635382344
162,170,Tenerife,947007,28.31972222222222,-16.55611111111111,1752.1928,1800.0568,0.05,979045.72,978640.2147683981,405.5052316018846,148.97827397897882,256.5269576229058
163,171,Tenerife,947008,28.321944444444444,-16.548333333333336,1709.8072,1757.6231,0.05,979054.23,978653.4699016329,400.76009836711455,144.34613367546558,256.41396469164897
