,Unnamed: 0,Station Name,latitude,longitude,height,obsG,SD,Survey Date,gamma,G_disturbance,terrain_effect,topo_free_disturbance
75,75,LM016_G19,28.29339071,-16.54096717,2332.7707,978929.91845,0.0777399999999999,2024/07/09,978473.95036199,455.9680880099768,198.7397109122545,257.2283770977223
76,76,LM017_G21,28.29351036,-16.54047798,2333.2784,978929.85171,0.07002,2024/07/09,978473.8028361058,456.04887389426585,198.7577493685492,257.29112452571667
77,77,MI00,28.47066342,-16.37862302,808.2123,979259.48831,0.23509,2024/05/10,978957.5941307533,301.8941792466212,63.00172229099779,238.8924569556234
78,78,MI01,28.4583392,-16.39391355,954.8621,979221.08804,0.214,2024/05/10,978911.4124575249,309.67558247502893,75.2512497238954,234.42433275113353
79,79,MI02,28.46050423,-16.4196125,812.3271,979248.71009,0.21688,2024/05/10,978955.5556865535,293.15440344659146,60.14518210380364,233.0092213427878
80,80,MI03,28.44794533,-16.4197583,949.1081,979220.13911,0.19819,2024/05/10,978912.401490604,307.7376193959499,73.59694989011211,234.14066950583776
81,81,MI04,28.43965024,-16.43083415,953.9324,979213.26311,0.18727,2024/05/10,978910.2855861275,302.9775238725124,71.79133251305728,231.1861913594551
82,82,MI05,28.45049732,-16.44162601,650.231,979278.25521,0.20675,2024/05/10,979004.8172335208,273.4379764792975,44.01461929984683,229.42335717945068
83,83,MI06,28.43874897,-16.45138098,630.052,979282.33279,0.20082,2024/05/10,979010.1556245462,272.1771654537879,42.22046929774273,229.95669615604515
84,84,MI07,28.4232184,-16.45561179,735.6161,979261.66842,0.18262,2024/05/10,978976.4062508972,285.2621691027889,51.88366344321358,233.37850565957532
85,85,MI09,28.41547763,-16.47643061,655.6547,979276.58536,0.18131,2024/05/10,979000.4955408778,276.08981912222225,42.44328508429458,233.64653403792767
86,86,ORO00,28.41082329,-16.54524137,132.3808,979395.66862,0.24401,2024/10/13,979161.6381666109,234.03045338916127,-3.120605965771379,237.15105935493264
87,87,ORO01,28.41536812,-16.51660529,157.5572,979390.00105,0.28906,2024/10/13,979154.2107248502,235.79032514977735,-2.945337772168297,238.73566292194565
88,88,ORO02,28.40462226,-16.51408114,275.4016,979364.35899,0.27197,2024/10/13,979117.026093725,247.33289627498016,8.459451877757216,238.87344439722295
89,89,ORO03,28.40294173,-16.50103401,626.6807,979283.59619,0.2309,2024/10/13,979008.4891608992,275.10702910088,39.53494233608066,235.57208676479937
90,90,ORO04,28.37892976,-16.49969958,798.3055,979257.98377,0.21318,2024/10/13,978953.7157724069,304.26799759303685,56.93663617333546,247.3313614197014
91,91,ORO05,28.38133508,-16.53259123,463.0432,979328.84553,0.23711,2024/10/13,979057.3556631705,271.48986682947725,25.879752050972765,245.61011477850448
92,92,ORO06,28.38841739,-16.54054454,335.4242,979354.39367,0.24258,2024/10/13,979097.276684053,257.1169859468937,14.638924658940146,242.47806128795355
93,93,ORO07,28.40602037,-16.53143233,214.1562,979379.97604,0.24877,2024/10/13,979136.0348144947,243.94122550531756,4.352460731736516,239.58876477358103
94,94,ORO08,28.41525923,-16.5286559,127.1123,979397.6698,0.25149,2024/10/13,979163.5996052704,234.0701947294874,-4.559061247166207,238.6292559766536
