Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,10936004,28.490000000000002,-16.328888888888887,572.7143,618,no encontrada,979299.32
Tenerife,10936005,28.490000000000002,-16.335833333333333,585.2092,no encontrada,no encontrada,979298.74
Tenerife,10936006,28.489722222222223,-16.340277777777775,600.7341,645550,0.05,979296.21
Tenerife,10936007,28.490000000000002,-16.344166666666666,602.3576,no encontrada,no encontrada,979295.79
Tenerife,10936008,28.490000000000002,-16.348055555555554,627.9534,672582,no encontrada,979290.42
Tenerife,10936009,28.490833333333335,-16.35611111111111,625.3965,no encontrada,no encontrada,979294.01
Tenerife,10936010,,,626.9003,no encontrada,no encontrada,979294.23
Tenerife,10936011,28.49138888888889,-16.362222222222222,627.6065,no encontrada,no encontrada,979294.02
Tenerife,10936012,28.492222222222225,-16.366666666666667,618.2933,663346,0.05,979297.12
Tenerife,10936013,28.492222222222225,-16.373055555555556,610.9643,655970,0.05,979298.68
Tenerife,10936014,28.492222222222225,-16.378611111111113,606.0127,652,no encontrada,979299.02
Tenerife,10936015,28.488055555555558,-16.38222222222222,595.8862,641,no encontrada,979300.82
Tenerife,10936016,28.48777777777778,-16.383055555555558,589.3885,636,no encontrada,979301.89
Tenerife,10936017,28.487222222222222,-16.38722222222222,581.5508,626689,0.05,979302.45
Tenerife,10936018,28.484166666666667,-16.390277777777776,592.659,637849,0.05,979299.07
Tenerife,10936019,28.480555555555554,-16.397777777777776,587.123,no encontrada,no encontrada,979297.45
Tenerife,10936020,28.479166666666664,-16.4,588.7271,no encontrada,no encontrada,979295.56
Tenerife,10936021,28.4775,-16.4025,582.1926,no encontrada,no encontrada,979295.89
Tenerife,10936022,28.47611111111111,-16.40861111111111,576.7825,620,no encontrada,979294.97
Tenerife,10936023,28.47611111111111,-16.411944444444444,551.1386,no encontrada,no encontrada,979297.57
Tenerife,10936024,28.474444444444444,-16.416944444444447,536.6205,no encontrada,no encontrada,979298.93
Tenerife,10936025,28.472499999999997,-16.4225,508.3733,no encontrada,no encontrada,979302.39
Tenerife,10936026,28.472777777777775,-16.428055555555556,468.0126,no encontrada,no encontrada,979308.01
Tenerife,10936027,28.470277777777778,-16.43305555555556,466.9643,512190,0.05,979308.22
Tenerife,10936028,28.470277777777778,-16.433333333333334,465.163,no encontrada,no encontrada,979308.65
Tenerife,10936029,28.465555555555554,-16.436944444444446,433.7189,no encontrada,no encontrada,979314.74
Tenerife,10936030,28.46333333333333,-16.442222222222224,416.807,no encontrada,no encontrada,979316.55
Tenerife,10936031,28.461388888888887,-16.445555555555554,396.524,no encontrada,no encontrada,979320.5
Tenerife,10936032,28.459444444444443,-16.449166666666667,376.5065,no encontrada,no encontrada,979323.43
Tenerife,10936033,28.459444444444443,-16.448888888888888,376.1132,416578,no encontrada,979323.44
Tenerife,10936034,28.458055555555553,-16.45138888888889,359.9371,no encontrada,no encontrada,979325.13
Tenerife,10936035,28.454722222222223,-16.45722222222222,345.1897,no encontrada,no encontrada,979329.28
Tenerife,10936036,28.45138888888889,-16.459722222222222,328.7105,no encontrada,no encontrada,979334.46
Tenerife,10936037,28.443333333333335,-16.46611111111111,311.7077,357638,no encontrada,979339.36
Tenerife,10936038,28.43888888888889,-16.471666666666664,278.4725,no encontrada,no encontrada,979347.31
Tenerife,10936039,28.436944444444446,-16.47583333333333,266.7258,no encontrada,no encontrada,979349.97
Tenerife,10936040,28.434722222222224,-16.47972222222222,240.3571,no encontrada,no encontrada,979356.42
Tenerife,10936041,28.432222222222222,-16.484166666666667,230.8681,no encontrada,no encontrada,979359.14
Tenerife,10936042,28.428333333333335,-16.488333333333333,247.9252,no encontrada,no encontrada,979356.2
Tenerife,10936043,28.42666666666667,-16.49388888888889,260.054,no encontrada,no encontrada,979353.67
Tenerife,10936044,28.42666666666667,-16.49361111111111,257.8761,305,no encontrada,979354.18
Tenerife,10936045,28.447222222222223,-16.463055555555556,264.8438,374371,0.05,979351.82
Tenerife,10936046,28.42,-16.502777777777776,289.4176,335438,0.05,979347.13
Tenerife,10936047,28.41638888888889,-16.50583333333333,282.5062,328685,0.05,979349.24
Tenerife,10936048,28.411388888888887,-16.509166666666665,251.5812,297837,0.05,979357.3
Tenerife,10936049,28.411666666666665,-16.509166666666665,249.494,no encontrada,no encontrada,979357.79
